"","評価","計","重み","スコア"
"知的・知覚的要求","75","2","0.13333333333333333","10"
"身体的要求","75","2","0.13333333333333333","10"
"タイムプレッシャー","90","4","0.26666666666666666","24"
"作業成績","70","1","0.06666666666666667","4.666666666666667"
"努力","80","1","0.06666666666666667","5.333333333333333"
"フラストレーション","50","5","0.3333333333333333","16.666666666666664"
"","0","0","0","70.66666666666666"
