"","評価","計","重み","スコア"
"知的・知覚的要求","80","5","0.3333333333333333","26.666666666666664"
"身体的要求","60","1","0.06666666666666667","4"
"タイムプレッシャー","0","0","0","0"
"作業成績","80","4","0.26666666666666666","21.333333333333332"
"努力","80","3","0.2","16"
"フラストレーション","60","2","0.13333333333333333","8"
"","0","0","0","76"
