"","評価","計","重み","スコア"
"知的・知覚的要求","40","5","0.3333333333333333","13.333333333333332"
"身体的要求","65","0","0","0"
"タイムプレッシャー","30","1","0.06666666666666667","2"
"作業成績","15","2","0.13333333333333333","2"
"努力","40","3","0.2","8"
"フラストレーション","30","4","0.26666666666666666","8"
"","0","0","0","33.33333333333333"
