"","評価","計","重み","スコア"
"知的・知覚的要求","80","4","0.26666666666666666","21.333333333333332"
"身体的要求","60","3","0.2","12"
"タイムプレッシャー","20","0","0","0"
"作業成績","25","5","0.3333333333333333","8.333333333333332"
"努力","85","2","0.13333333333333333","11.333333333333334"
"フラストレーション","70","1","0.06666666666666667","4.666666666666667"
"","0","0","0","57.66666666666666"
