"","評価","計","重み","スコア"
"知的・知覚的要求","30","4","0.26666666666666666","8"
"身体的要求","70","3","0.2","14"
"タイムプレッシャー","70","0","0","0"
"作業成績","30","5","0.3333333333333333","10"
"努力","80","1","0.06666666666666667","5.333333333333333"
"フラストレーション","70","2","0.13333333333333333","9.333333333333334"
"","0","0","0","46.66666666666667"
