"","評価","計","重み","スコア"
"知的・知覚的要求","60","2","0.13333333333333333","8"
"身体的要求","50","0","0","0"
"タイムプレッシャー","60","4","0.26666666666666666","16"
"作業成績","50","1","0.06666666666666667","3.3333333333333335"
"努力","60","3","0.2","12"
"フラストレーション","70","5","0.3333333333333333","23.333333333333332"
"","0","0","0","62.66666666666666"
