metric,value
session_id,20251223_184046
total_duration_sec,177.588
total_frames,2546
face_present_frames,1931
face_present_duration_sec,64.367
face_gaze_frames,0
face_gaze_duration_sec,0.0
face_gaze_percentage,0.0
fps,30.0
