metric,value
session_id,20251226_153443
total_duration_sec,166.817
total_frames,1986
face_present_frames,1216
face_present_duration_sec,40.533
face_gaze_frames,0
face_gaze_duration_sec,0.0
face_gaze_percentage,0.0
fps,30.0
