metric,value
session_id,20251223_175738
total_duration_sec,360.674
total_frames,5626
face_present_frames,4491
face_present_duration_sec,149.7
face_gaze_frames,1330
face_gaze_duration_sec,44.333
face_gaze_percentage,23.64
fps,30.0
