metric,value
session_id,20251223_173046
total_duration_sec,174.228
total_frames,3516
face_present_frames,0
face_present_duration_sec,0.0
face_gaze_frames,0
face_gaze_duration_sec,0.0
face_gaze_percentage,0.0
fps,30.0
