metric,value
session_id,20251226_143618
total_duration_sec,174.194
total_frames,3061
face_present_frames,56
face_present_duration_sec,1.867
face_gaze_frames,0
face_gaze_duration_sec,0.0
face_gaze_percentage,0.0
fps,30.0
