timestamp,gaze_x,gaze_y,gaze_confidence,num_faces,is_looking_at_face,face_bbox_left,face_bbox_top,face_bbox_width,face_bbox_height
1766481314.794564,0.9567969022376349,0.213663268266295,0.9202610850334167,1,False,,,,
1766481315.431715,0.9563458767412147,0.21706050118915265,1.0,1,False,,,,
1766481315.442359,0.9558677576393381,0.21722939294292543,0.9656522572040558,1,False,,,,
1766481315.44687,0.9558677576393381,0.21722939294292543,0.9656522572040558,1,False,,,,
1766481315.4541152,0.9558677576393381,0.21722939294292543,0.9656522572040558,1,False,,,,
1766481315.457779,0.40525686506176956,0.6514662358017156,0.1155269550741499,1,False,,,,
1766481315.804488,0.39244702889827504,0.6430082399095016,0.13619397645962864,1,False,,,,
1766481315.8137028,1.0522355821893412,-1.0039451257896839,0.1348774500264412,1,False,,,,
1766481315.820296,1.0522355821893412,-1.0039451257896839,0.1348774500264412,1,False,,,,
1766481315.823006,1.0522355821893412,-1.0039451257896839,0.1348774500264412,1,False,,,,
1766481315.825619,1.02955230904278,-0.9997693917609496,0.13653896231899654,1,False,,,,
1766481316.080378,1.02955230904278,-0.9997693917609496,0.13653896231899654,1,False,,,,
1766481316.088304,1.02955230904278,-0.9997693917609496,0.13653896231899654,1,False,,,,
1766481316.093426,1.02955230904278,-0.9997693917609496,0.13653896231899654,1,False,,,,
1766481316.095969,1.02955230904278,-0.9997693917609496,0.13653896231899654,1,False,,,,
1766481316.098513,0.35349227086249047,0.8022865998903782,0.15696931710035267,1,False,,,,
1766481316.3241239,0.35349227086249047,0.8022865998903782,0.15696931710035267,1,False,,,,
1766481316.329974,0.35349227086249047,0.8022865998903782,0.15696931710035267,1,False,,,,
1766481316.332903,0.35349227086249047,0.8022865998903782,0.15696931710035267,1,False,,,,
1766481316.335777,0.35349227086249047,0.8022865998903782,0.15696931710035267,1,False,,,,
1766481316.3381948,0.36969798059007686,0.6137863923743788,0.12563624925644273,1,False,,,,
1766481316.569288,0.36969798059007686,0.6137863923743788,0.12563624925644273,1,False,,,,
1766481316.575252,0.36969798059007686,0.6137863923743788,0.12563624925644273,1,False,,,,
1766481316.578558,0.3690876081735768,0.802847353862059,0.14424009480170155,1,False,,,,
1766481316.583092,0.3690876081735768,0.802847353862059,0.14424009480170155,1,False,,,,
1766481316.590421,0.9970247051245564,-1.6342822775895973,0.2196567173088753,1,False,,,,
1766481316.937786,0.9970247051245564,-1.6342822775895973,0.2196567173088753,1,False,,,,
1766481316.944696,1.071595862023297,-0.9689824381832013,0.14557817911027743,1,False,,,,
1766481316.9477491,1.0277521772305207,-0.9390127813509743,0.14094277766824334,1,False,,,,
1766481316.950411,1.0277521772305207,-0.9390127813509743,0.14094277766824334,1,False,,,,
1766481316.956692,0.9533890994109427,0.226385667801832,0.9355902075767517,1,False,,,,
