metric,value
session_id,20251223_152157
total_duration_sec,114.706
total_frames,1806
face_present_frames,1656
face_present_duration_sec,55.2
face_gaze_frames,66
face_gaze_duration_sec,2.2
face_gaze_percentage,3.654
fps,30.0
