"","評価","計","重み","スコア"
"知的・知覚的要求","15","0","0","0"
"身体的要求","10","1","0.06666666666666667","0.6666666666666666"
"タイムプレッシャー","30","5","0.3333333333333333","10"
"作業成績","15","2","0.13333333333333333","2"
"努力","25","4","0.26666666666666666","6.666666666666667"
"フラストレーション","20","3","0.2","4"
"","0","0","0","23.333333333333332"
