"","評価","計","重み","スコア"
"知的・知覚的要求","10","0","0","0"
"身体的要求","10","1","0.06666666666666667","0.6666666666666666"
"タイムプレッシャー","25","5","0.3333333333333333","8.333333333333332"
"作業成績","10","2","0.13333333333333333","1.3333333333333333"
"努力","30","3","0.2","6"
"フラストレーション","30","4","0.26666666666666666","8"
"","0","0","0","24.333333333333332"
