"","評価","計","重み","スコア"
"知的・知覚的要求","20","1","0.06666666666666667","1.3333333333333333"
"身体的要求","5","3","0.2","1"
"タイムプレッシャー","15","5","0.3333333333333333","5"
"作業成績","10","0","0","0"
"努力","10","2","0.13333333333333333","1.3333333333333333"
"フラストレーション","0","4","0.26666666666666666","0"
"","0","0","0","8.666666666666666"
