"","評価","計","重み","スコア"
"知的・知覚的要求","30","4","0.26666666666666666","8"
"身体的要求","80","4","0.26666666666666666","21.333333333333332"
"タイムプレッシャー","50","2","0.13333333333333333","6.666666666666667"
"作業成績","5","0","0","0"
"努力","60","3","0.2","12"
"フラストレーション","10","2","0.13333333333333333","1.3333333333333333"
"","0","0","0","49.333333333333336"
