"","評価","計","重み","スコア"
"知的・知覚的要求","0","2","0.13333333333333333","0"
"身体的要求","0","1","0.06666666666666667","0"
"タイムプレッシャー","0","0","0","0"
"作業成績","10","3","0.2","2"
"努力","20","4","0.26666666666666666","5.333333333333333"
"フラストレーション","35","5","0.3333333333333333","11.666666666666666"
"","0","0","0","19"
