"","評価","計","重み","スコア"
"知的・知覚的要求","80","4","0.26666666666666666","21.333333333333332"
"身体的要求","60","2","0.13333333333333333","8"
"タイムプレッシャー","80","4","0.26666666666666666","21.333333333333332"
"作業成績","75","2","0.13333333333333333","10"
"努力","80","0","0","0"
"フラストレーション","50","3","0.2","10"
"","0","0","0","70.66666666666666"
