"","評価","計","重み","スコア"
"知的・知覚的要求","10","0","0","0"
"身体的要求","15","2","0.13333333333333333","2"
"タイムプレッシャー","80","2","0.13333333333333333","10.666666666666666"
"作業成績","15","3","0.2","3"
"努力","90","4","0.26666666666666666","24"
"フラストレーション","70","4","0.26666666666666666","18.666666666666668"
"","0","0","0","58.33333333333333"
