"","評価","計","重み","スコア"
"知的・知覚的要求","10","5","0.3333333333333333","3.333333333333333"
"身体的要求","10","4","0.26666666666666666","2.6666666666666665"
"タイムプレッシャー","0","1","0.06666666666666667","0"
"作業成績","10","2","0.13333333333333333","1.3333333333333333"
"努力","10","3","0.2","2"
"フラストレーション","10","0","0","0"
"","0","0","0","9.333333333333332"
