"","評価","計","重み","スコア"
"知的・知覚的要求","80","3","0.2","16"
"身体的要求","60","4","0.26666666666666666","16"
"タイムプレッシャー","20","0","0","0"
"作業成績","10","2","0.13333333333333333","1.3333333333333333"
"努力","65","5","0.3333333333333333","21.666666666666664"
"フラストレーション","30","1","0.06666666666666667","2"
"","0","0","0","57"
