"","評価","計","重み","スコア"
"知的・知覚的要求","10","2","0.13333333333333333","1.3333333333333333"
"身体的要求","10","3","0.2","2"
"タイムプレッシャー","10","1","0.06666666666666667","0.6666666666666666"
"作業成績","20","3","0.2","4"
"努力","10","5","0.3333333333333333","3.333333333333333"
"フラストレーション","10","1","0.06666666666666667","0.6666666666666666"
"","0","0","0","11.999999999999998"
