"","評価","計","重み","スコア"
"知的・知覚的要求","35","2","0.13333333333333333","4.666666666666667"
"身体的要求","70","4","0.26666666666666666","18.666666666666668"
"タイムプレッシャー","60","5","0.3333333333333333","20"
"作業成績","80","0","0","0"
"努力","60","1","0.06666666666666667","4"
"フラストレーション","40","3","0.2","8"
"","0","0","0","55.333333333333336"
