"","評価","計","重み","スコア"
"知的・知覚的要求","70","2","0.13333333333333333","9.333333333333334"
"身体的要求","80","3","0.2","16"
"タイムプレッシャー","60","3","0.2","12"
"作業成績","70","0","0","0"
"努力","70","2","0.13333333333333333","9.333333333333334"
"フラストレーション","70","5","0.3333333333333333","23.333333333333332"
"","0","0","0","70"
