"","評価","計","重み","スコア"
"知的・知覚的要求","65","5","0.3333333333333333","21.666666666666664"
"身体的要求","40","0","0","0"
"タイムプレッシャー","65","4","0.26666666666666666","17.333333333333332"
"作業成績","70","3","0.2","14"
"努力","60","2","0.13333333333333333","8"
"フラストレーション","40","1","0.06666666666666667","2.6666666666666665"
"","0","0","0","63.666666666666664"
