"","評価","計","重み","スコア"
"知的・知覚的要求","75","1","0.06666666666666667","5"
"身体的要求","85","3","0.2","17"
"タイムプレッシャー","80","3","0.2","16"
"作業成績","60","0","0","0"
"努力","75","5","0.3333333333333333","25"
"フラストレーション","70","3","0.2","14"
"","0","0","0","77"
