metric,value
session_id,20251222_174603
total_duration_sec,123.414
total_frames,1931
face_present_frames,1225
face_present_duration_sec,40.833
face_gaze_frames,5
face_gaze_duration_sec,0.167
face_gaze_percentage,0.259
fps,30.0
