left_eye_x,left_eye_y,right_eye_x,right_eye_y
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,0.5501495003700256,0.617510199546814
nan,nan,0.5423588752746582,0.721639096736908
nan,nan,0.5329188704490662,0.8478147983551025
nan,nan,0.5611386299133301,1.0198246240615845
nan,nan,0.5611386299133301,1.0198246240615845
0.4728062152862549,1.0805411338806152,0.5608500838279724,1.0038360357284546
0.4728062152862549,1.0805411338806152,0.5608500838279724,1.0038360357284546
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,0.5612607598304749,0.9663150310516357
0.4952961504459381,1.0734739303588867,0.5638501644134521,0.9738120436668396
0.4936816990375519,1.0711084604263306,0.5623772740364075,0.9773581624031067
0.49001604318618774,1.0716578960418701,0.5642454028129578,0.9789795875549316
0.48655688762664795,1.0650699138641357,0.5627077221870422,0.9738036394119263
0.4491024911403656,1.0570135116577148,0.5163872241973877,0.9640153646469116
0.40163570642471313,1.0447819232940674,0.4785483479499817,0.9549137949943542
0.3932907283306122,1.043810486793518,0.4632098376750946,0.9472246170043945
0.39707788825035095,1.0491052865982056,0.46369045972824097,0.9414150714874268
0.3962608575820923,1.0396298170089722,0.4658542573451996,0.9437806010246277
0.3974642753601074,1.0435925722122192,0.467763751745224,0.949741005897522
0.3988479673862457,1.038317084312439,0.4660003185272217,0.9426558613777161
0.40133512020111084,1.0352287292480469,0.4676339030265808,0.9489723443984985
0.4042523205280304,1.0449860095977783,0.4705640375614166,0.9494902491569519
0.4011451005935669,1.0401544570922852,0.4680468440055847,0.9390207529067993
0.40002208948135376,1.0363746881484985,0.46659937500953674,0.937163770198822
0.40298640727996826,1.0368751287460327,0.4673765003681183,0.9443535208702087
0.4025636911392212,1.0394868850708008,0.465027391910553,0.9478821158409119
0.404598206281662,1.0377771854400635,0.46269455552101135,0.9463876485824585
0.4046054780483246,1.033054232597351,0.46369796991348267,0.9485464096069336
0.40305566787719727,1.0318286418914795,0.465187132358551,0.9474378824234009
0.40295109152793884,1.0358577966690063,0.4629349112510681,0.9432067275047302
0.4054666757583618,1.0343971252441406,0.45942482352256775,0.9436361193656921
0.4039938747882843,1.0281658172607422,0.4641042947769165,0.9434486031532288
0.4037056863307953,1.028086543083191,0.46682310104370117,0.9497981667518616
0.4026825428009033,1.0294119119644165,0.464264452457428,0.9494796991348267
0.39505594968795776,1.0329947471618652,0.4598086178302765,0.9429138898849487
0.39297059178352356,1.0373817682266235,0.46179163455963135,0.9475091099739075
0.4034035801887512,1.0307765007019043,0.4604948163032532,0.952829122543335
0.4038408398628235,1.0275510549545288,0.45776084065437317,0.9574392437934875
0.3938450813293457,1.030930757522583,0.4571627080440521,0.9553145170211792
0.39290937781333923,1.0343890190124512,0.4542188048362732,0.9414199590682983
0.3966635465621948,1.0340969562530518,0.4554864168167114,0.9411810040473938
0.395723819732666,1.035800814628601,0.45724016427993774,0.9429694414138794
